tweet_id,customer_message,brand_reply,intent,expected_action,label_notes
128851,@spotifycares it's 2017 why do I have a 3333 offline song limit on my spotify? Do you really want @GooglePlayMusic to get that 9.99 a month off me? Ps pls emulate their local files synching.,"@144986 Hey Ben! Right now, there's a download limit of 3,333 tracks on 3 separate devices. We have more info here: https://t.co/WDXVuJV0dh /NS",DOWNLOAD_OFFLINE,AUTO_HANDLE,General download limit question
888704,@SpotifyCares please msg me as I got a issue with your family plan. Yes I sent the invites. It's not working. Please help! I paid extra !,@330990 Hi! We've replied to your DM. We'll continue helping there 🙂 /BX,BILLING_SUBSCRIPTION,ESCALATE,Family plan not working after payment
2389831,"@688460 @SpotifyCares Udah gak ada penawaran yang pake pulsa mas. Selain itu, dia hanya bisa IM3 dan 3.",@579736 2: necessary and you should be good to go! Let us know if you have other questions /GK,BILLING_SUBSCRIPTION,AUTO_HANDLE,Payment method or offer question
1815772,@SpotifyCares I have been trying to update my payment information and I keep getting an error and I have tried muitlpe cards. Can you help?,"@545454 Hi there! Can you DM us your account's email address or username, and a screenshot of the error message? We'll take a look backstage /NQ https://t.co/ldFdZRiNAt",BILLING_SUBSCRIPTION,ESCALATE,Payment update error requires account check
2653170,Can someone tell me why Freaks and Geeks by Gambino is not on spotify ???,@748233 Hey there! Can you let us know which country your account is set to? We'll have this checked for you /DD,CONTENT_AVAILABILITY,AUTO_HANDLE,Missing song availability question
739930,@SpotifyCares 1.0.65.320.gac7a8e02,@296952 Can you try the steps here for us: https://t.co/EqisDMwZAT? Let us know if the issue persists /JN,PLAYBACK_TECHNICAL,AUTO_HANDLE,Technical troubleshooting context
1670612,"@SpotifyCares a double reinstall seemed to fix it (at least for now). Still don't know what caused it, but thanks!","@508555 You're welcome! If you need us again, you know where to find us. Keep on rocking and https://t.co/mJs5KObHO4 🎶 /RC",OTHER,AUTO_HANDLE,Issue already resolved
1984360,@SpotifyCares no Apple Watch app? Seriously? I’ll be switching to Apple Music...,@587375 Hey! Check out the official idea and add your vote to let our devs know it's something you'd like to see: https://t.co/SEK4E4gi22 /NQ,FEATURE_REQUEST,AUTO_HANDLE,Apple Watch app request
1564268,@SpotifyCares so kindly add Pakistan in your launching country list as many people here wants @115888 here,"@483023 We understand, but sometimes it all comes down to licensing matters. Rest assured, your feedback will be passed on to the right folks /NJ",CONTENT_AVAILABILITY,AUTO_HANDLE,Country availability request
2297932,Why tf isn't this album on Spotify..smh @115888 https://t.co/r6guq4qv66,"@667065 Hi! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa /AK",CONTENT_AVAILABILITY,AUTO_HANDLE,Missing album question
